COVID24A2_Obkmxy	C03AA03
COVID24A2_Od4cgf	C03CA01
COVID24A2_O36c82	C03CA02
COVID24A2_Okdpen	C07AB03
COVID24A2_O6v53p	C07AB02
COVID24A2_Oqvyxx	C07AB07
COVID24A2_Orjaqk	C09AA01
COVID24A2_Ott3yf	C09AA02
COVID24A2_Ogqcst	C09AA03
COVID24A2_Okah34	C08CA05
COVID24A3_Ofkgb8	R03AC02
COVID24A3_Obkg99	R03AC13
COVID24A3_Oeeb2s	R03AC12
COVID24A3_Or62ex	R03BB01
COVID24A3_Ojzbse	R03BB04
COVID24A3_Om3ep5	R03BA01
COVID24A3_Ozpfm6	R03BA02
COVID24A3_Oqvpna	R03BA05
COVID24A3_Oksdkm	R03AK08
COVID24A3_Obvqbs	R03AK07
COVID24A3_O7e5h7	R03AK06
COVID24A4_Ox82w8	H02AB10
COVID24A4_Of4mfe	H02AB02
COVID24A4_O9y5pr	H02AB09
COVID24A4_Os7b9n	H02AB06
COVID24A4_Okyyff	H02AB07
COVID24A5_O2vzt4	H02AB08
COVID24A5_Onm2v5	D07AB09
COVID24A5_Od5bnx	R01AD11
COVID24A5_Otcm76	S02CA04
COVID24A5_Oheszr	D07AA02
COVID24A5_Osjrhk	D07AC17
COVID24A5_Opnac9	D07AC01
COVID24A5_O7cwyp	D07AB19
COVID24A5_O3cj7d	S01BA01
COVID24A5_Oanjxd	C05AA12
COVID24A6_O9fhnx	C10AA01
COVID24A6_Ofeaep	C10AA05
COVID24A6_Ohvdn5	C10AA04
COVID24A6_Offtsh	C10AA07
COVID24A6_Ovnasw	C10AA03
COVID24A6_Ozfwjw	C10AB04
COVID24A6_Ofxc66	C10AC01
COVID24A6_O7s6kh	C10AX09
COVID24A6_Ojpbvp	C10BA02
COVID24A7_Oevn25	A10A
COVID24A7_Omx238	A10BA02
COVID24A7_Opxdg5	A10BB03
COVID24A7_Obtms4	A10BB01
COVID24A7_O4m3zb	A10BB09
COVID24A7_Ofsvvq	A10BG03
COVID24A7_Otp2q4	A10BX02
COVID24A7_Oj8t8d	A10BF01
COVID24A7_Oetqc8	A10BH01
COVID24A8_Ot8s2n	R05DA04
COVID24A8_Omacyr	R05DA07
COVID24A8_Op2xs6	R05CB02
COVID24A8_Oswk9x	R05CA
COVID24A8_Ozmfx8	R05DA09
COVID24A8_Oqy2nm	R05DB05
COVID24A8_O8h6fs	R05CB01
COVID24A8_Ohyj5m	R05CB03
COVID24A8_Of99qx	R06AD02
COVID24A8_O4hsq3	R05X
COVID24A9_O9qmc6	N02BE01
COVID24A9_Oj67wf	M01AE01
COVID24A9_O36v29	N02BA01
COVID24A9_Ow6p46	M01AB05
COVID24A9_Oggr59	M01AE02
COVID24A9_Ofcd65	R05DA04
COVID24A9_Oxf2zw	N02AX02
COVID24A9_Otypyv	N02AA05
COVID24A9_Oxs84q	N02AA01
